AFFY ID	AGI
264342_at	At1g12080
264371_at	At1g12090
264370_at	At1g12100
264348_at	At1g12110
260995_at	At1g12120
260994_at	At1g12130
260993_at	At1g12140
260992_at	At1g12150
260991_at	At1g12160
260990_at	At1g12180
261024_at	At1g12190
261023_at	At1g12200
260996_at	At1g12210
260966_at	At1g12220
260967_at	At1g12230
260969_at	At1g12240
260968_at	At1g12250
261022_at	At1g12260
259519_at	At1g12270
259535_at	At1g12280
259534_at	At1g12290
259538_at	At1g12310
259520_at	At1g12320
259528_at	At1g12330
259512_at	At1g12360
259537_at	At1g12370
259529_at	At1g12400
259521_at	At1g12410
259513_at	At1g12430
259530_at	At1g12450
259531_at	At1g12460
259532_at	At1g12470
259514_at	At1g12480
259522_at	At1g12490
259523_at	At1g12500
259511_at	At1g12520
259533_at	At1g12530
259524_at	At1g12550
259525_at	At1g12560
259526_at	At1g12570
259484_at	At1g12580
259527_at	At1g12600
255937_at	At1g12610
255938_at	At1g12620
255927_at	At1g12630
255928_at	At1g12640
255929_at	At1g12650
255930_at	At1g12660
255936_at	At1g12680
255935_at	At1g12700
255931_at	At1g12710
255932_at	At1g12720
255939_at	At1g12730
255934_at	At1g12740
255933_at	At1g12750
261194_at	At1g12775
261211_at	At1g12780
261205_at	At1g12790
261206_at	At1g12800
261209_at	At1g12810
261195_at	At1g12820
261207_at	At1g12830
261210_at	At1g12840
261203_at	At1g12845
261201_at	At1g12850
261196_at	At1g12860
261212_at	At1g12880
261197_at	At1g12900
261202_at	At1g12910
261208_at	At1g12930
261198_at	At1g12940
261199_at	At1g12950
261200_at	At1g12960
261213_at	At1g12970
262768_at	At1g12990
262775_at	At1g13000
262776_at	At1g13020
262777_at	At1g13030
257465_at	At1g13040
262778_at	At1g13050
262779_at	At1g13070
262826_at	At1g13080
262780_at	At1g13090
262827_at	At1g13100
262793_at	At1g13110
262794_at	At1g13120
262795_at	At1g13130
262764_at	At1g13140
262765_at	At1g13150
262766_at	At1g13160
262767_at	At1g13170
262769_at	At1g13180
262770_at	At1g13190
262782_at	At1g13195
262771_at	At1g13200
262772_at	At1g13210
262773_at	At1g13220
262774_at	At1g13230
259358_at	At1g13250
259364_at	At1g13260
259363_at	At1g13270
259366_at	At1g13280
257515_at	At1g13290
259365_at	At1g13300
259360_at	At1g13310
259407_at	At1g13320
259409_at	At1g13330
259410_at	At1g13340
259387_at	At1g13370
259357_at	At1g13380
259386_at	At1g13400
259411_at	At1g13410
259388_at	At1g13420
259361_at	At1g13440
259412_at	At1g13450
259359_at	At1g13460
259385_at	At1g13470
256103_at	At1g13540
256134_at	At1g13560
256133_at	At1g13570
256157_at	At1g13580
256158_at	At1g13590
256131_at	At1g13600
256132_at	At1g13610
256095_at	At1g13630
256071_at	At1g13640
256096_at	At1g13650
256097_at	At1g13670
256102_at	At1g13680
256068_at	At1g13690
256098_at	At1g13700
256099_at	At1g13710
256070_at	At1g13730
256069_at	At1g13740
256100_at	At1g13750
256101_at	At1g13760
259448_at	At1g13790
259449_at	At1g13800
259422_at	At1g13810
259424_at	At1g13830
259450_at	At1g13870
259423_at	At1g13880
259451_at	At1g13890
259420_at	At1g13900
259421_at	At1g13910
262662_at	At1g13920
262609_at	At1g13930
